Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,work_duration_mean,arrival_hour_mean,depart_hour_mean,overtime_rate,n_work_days,attendance_rate
0,Travel_Rarely,Sales,6,2,Life Sciences,1,1,Healthcare Representative,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,7.373650622605365,9.491379310344827,16.900862068965516,0.0,232,0.8888888888888888
1,Travel_Frequently,Research & Development,10,1,Life Sciences,2,1,Research Scientist,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,7.718968926553672,9.470338983050848,17.216101694915253,0.16091954022988506,236,0.9042145593869731
0,Travel_Frequently,Research & Development,17,4,Other,3,4,Sales Executive,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,7.013240358126722,9.541322314049587,16.524793388429753,0.0,242,0.9272030651340997
0,Non-Travel,Research & Development,2,5,Life Sciences,4,3,Human Resources,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,7.193678486997635,9.476595744680852,16.693617021276594,0.0,235,0.9003831417624522
0,Travel_Rarely,Research & Development,10,1,Medical,5,1,Sales Executive,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,8.006174603174603,9.461224489795919,17.506122448979593,0.44061302681992337,245,0.9386973180076629
0,Travel_Rarely,Research & Development,8,3,Life Sciences,6,4,Research Director,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,10.796095874355368,9.50632911392405,20.29113924050633,0.9080459770114943,237,0.9080459770114943
1,Travel_Rarely,Research & Development,11,2,Medical,7,2,Sales Executive,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,6.923570402298851,9.426724137931034,16.405172413793103,0.0038314176245210726,232,0.8888888888888888
0,Travel_Rarely,Research & Development,18,3,Life Sciences,8,2,Sales Executive,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,6.725620713305898,9.481481481481481,16.218106995884774,0.0,243,0.9310344827586207
0,Travel_Rarely,Research & Development,1,3,Life Sciences,9,3,Laboratory Technician,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,7.236498792270532,9.539130434782608,16.795652173913044,0.0038314176245210726,230,0.8812260536398467
0,Non-Travel,Research & Development,7,4,Medical,10,4,Laboratory Technician,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,7.080087844254511,9.427350427350428,16.555555555555557,0.0,234,0.896551724137931
0,Travel_Rarely,Research & Development,17,2,Medical,11,2,Laboratory Technician,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,8.403485477178425,9.522821576763485,17.90871369294606,0.8505747126436781,241,0.9233716475095786
0,Travel_Rarely,Research & Development,28,1,Life Sciences,12,1,Laboratory Technician,33770,0.0,12,2,16.0,2,15,10,11,,4.0,3.0,3,3,7.06895458736745,9.50207468879668,16.57676348547718,0.0,241,0.9233716475095786
