Model,Metric,Avec Normalisation,Sans Normalisation,Différence,Pourcentage_Différence
LogisticRegression,roc_auc,0.8004840001920688,0.7862504278806598,0.014233572311408982,1.81
LogisticRegression,f1,0.34235142222758325,0.3072294893641363,0.03512193286344695,11.43
LogisticRegression,precision,0.6371390013495276,0.6192831678125795,0.017855833536948085,2.88
LogisticRegression,recall,0.23546033224654556,0.20551156652693683,0.029948765719608722,14.57
NaiveBayes,roc_auc,0.7243940519117753,0.7251091249663362,-0.0007150730545608663,-0.1
NaiveBayes,f1,0.4000726924607457,0.26398552964083144,0.1360871628199143,51.55
NaiveBayes,precision,0.39136385127504675,0.5032132848988065,-0.11184943362375971,-22.23
NaiveBayes,recall,0.4094550535631113,0.18093463747865238,0.22852041608445892,126.3
DecisionTree,roc_auc,0.8861031938279084,0.8861031938279084,0.0,0.0
DecisionTree,f1,0.7067667705770452,0.7067667705770452,0.0,0.0
DecisionTree,precision,0.7892512348745016,0.7892512348745016,0.0,0.0
DecisionTree,recall,0.6413910883403198,0.6413910883403198,0.0,0.0
SVM,roc_auc,0.8890201457098899,0.4867285523017668,0.40229159340812304,82.65
SVM,f1,0.4651819715178348,0.0,0.4651819715178348,inf
SVM,precision,0.8880479735318445,0.0,0.8880479735318445,inf
SVM,recall,0.3197484862598975,0.0,0.3197484862598975,inf
RandomForest,roc_auc,0.9782861179867375,0.9777729181257582,0.0005131998609793076,0.05
RandomForest,f1,0.782354879847281,0.7818709749451139,0.00048390490216709825,0.06
RandomForest,precision,0.9610673579902167,0.9631405287219241,-0.00207317073170743,-0.22
RandomForest,recall,0.6607514361124049,0.6589970501474927,0.0017543859649122862,0.27
GradientBoosting,roc_auc,0.9596143629615254,0.9596679144288665,-5.355146734109528e-05,-0.01
GradientBoosting,f1,0.788741764175997,0.7914828659334922,-0.0027411017574952012,-0.35
GradientBoosting,precision,0.9343001588906544,0.9345382541287496,-0.00023809523809514843,-0.03
GradientBoosting,recall,0.6852507374631269,0.6887905604719764,-0.003539823008849474,-0.51
XGBoost,roc_auc,0.9684931840524345,0.9684931840524345,0.0,0.0
XGBoost,f1,0.885879115521259,0.885879115521259,0.0,0.0
XGBoost,precision,0.9538904813812966,0.9538904813812966,0.0,0.0
XGBoost,recall,0.8276975624902965,0.8276975624902965,0.0,0.0
LightGBM,roc_auc,0.968309336924705,0.9671433226331573,0.0011660142915477234,0.12
LightGBM,f1,0.8776432621824719,0.8838480213475577,-0.0062047591650857825,-0.7
LightGBM,precision,0.9548859570661896,0.953836130978446,0.0010498260877436216,0.11
LightGBM,recall,0.8136003726129483,0.824188790560472,-0.010588417947523743,-1.28
CatBoost,roc_auc,0.932041491003249,0.932041491003249,0.0,0.0
CatBoost,f1,0.6784153682670303,0.6784153682670303,0.0,0.0
CatBoost,precision,0.9246435724352793,0.9246435724352793,0.0,0.0
CatBoost,recall,0.536127930445583,0.536127930445583,0.0,0.0
MLP,roc_auc,0.9531754226144227,0.5358972184176947,0.417278204196728,77.87
MLP,f1,0.8600591692671016,0.16866665232756023,0.6913925169395414,409.92
MLP,precision,0.8968318465741147,0.0983698431331143,0.7984620034410005,811.69
MLP,recall,0.827744139108834,0.5912280701754385,0.2365160689333955,40.0
KNN,roc_auc,0.8668261708043857,0.8182363872304566,0.04858978357392918,5.94
KNN,f1,0.39652252562608925,0.303451345888448,0.09307117973764123,30.67
KNN,precision,0.6499374609130706,0.4248478249028566,0.22508963601021398,52.98
KNN,recall,0.28653935724266416,0.23723024375097035,0.04930911349169381,20.79
ExtraTrees,roc_auc,0.9942791226668992,0.9942791226668992,0.0,0.0
ExtraTrees,f1,0.9223118948384246,0.9223118948384246,0.0,0.0
ExtraTrees,precision,0.9810185185185185,0.9810185185185185,0.0,0.0
ExtraTrees,recall,0.8716193137711535,0.8716193137711535,0.0,0.0
Hist GradientBoosting,roc_auc,0.9507066455929852,0.9507066455929852,0.0,0.0
Hist GradientBoosting,f1,0.733969621270853,0.733969621270853,0.0,0.0
Hist GradientBoosting,precision,0.9201848090562414,0.9201848090562414,0.0,0.0
Hist GradientBoosting,recall,0.611504424778761,0.611504424778761,0.0,0.0
AdaBoost,roc_auc,0.8149934793151171,0.8149934793151171,0.0,0.0
AdaBoost,f1,0.40465244939681944,0.40465244939681944,0.0,0.0
AdaBoost,precision,0.7339579979072937,0.7339579979072937,0.0,0.0
AdaBoost,recall,0.27945971122496505,0.27945971122496505,0.0,0.0
